"maincity_id","city_id","distance","duration","id"
2,2,0,0,
2,4,40,0.96,
2,9,10,0.29,
2,18,33,0.54,
2,21,81,1.32,
29,24,96,1.52,
29,29,0,0,
29,31,17,0.4,
29,32,7,0.23,
29,36,101,1.61,
29,195,60,0.91,
29,196,92,1.38,
29,201,105,1.58,
36,29,101,1.61,
36,36,0,0,
36,154,89,1.6,
36,158,55,0.97,
36,195,40,0.88,
36,196,83,1.46,
50,50,0,0,
56,56,0,0,
56,59,35,1.02,
59,56,35,1.02,
59,59,0,0,
72,72,0,0,
73,70,37,0.7,
73,73,0,0,
81,81,0,0,
81,82,26,0.57,
81,84,16,0.42,
81,89,29,0.69,
81,153,48,0.92,
81,157,71,1.15,
81,161,101,1.61,
82,81,26,0.57,
82,82,0,0,
82,84,27,0.47,
82,89,41,0.74,
82,153,59,0.98,
82,157,82,1.2,
84,81,16,0.42,
84,82,27,0.47,
84,84,0,0,
84,89,17,0.39,
84,153,35,0.62,
84,154,111,1.62,
84,155,101,1.47,
84,157,58,0.84,
84,161,88,1.3,
84,169,91,1.35,
84,171,95,1.54,
84,178,99,1.4,
94,94,0,0,
94,96,38,1.03,
112,112,0,0,
112,113,16,0.3,
112,115,41,0.8,
115,112,41,0.8,
115,113,27,0.58,
115,115,0,0,
117,117,0,0,
117,213,45,1.22,
139,129,10,0.22,
139,139,0,0,
139,145,80,1.24,
159,159,0,0,
159,160,29,0.85,
169,84,91,1.35,
169,89,82,1.31,
169,136,69,1.01,
169,151,35,0.94,
169,153,66,1.03,
169,154,25,0.57,
169,155,16,0.37,
169,157,34,0.64,
169,158,53,0.89,
169,161,8,0.24,
169,169,0,0,
169,171,26,0.68,
169,178,20,0.35,
182,181,8,0.23,
182,182,0,0,
182,183,14,0.41,
183,181,7,0.21,
183,182,14,0.41,
183,183,0,0,
183,213,59,1.42,
184,158,108,1.61,
184,184,0,0,
195,29,60,0.91,
195,31,72,1.12,
195,32,66,1.1,
195,36,40,0.88,
195,145,102,1.61,
195,158,95,1.54,
195,195,0,0,
195,196,43,0.76,
195,201,56,0.95,
196,29,92,1.38,
196,31,103,1.6,
196,32,98,1.57,
196,36,83,1.46,
196,145,63,1.03,
196,195,43,0.76,
196,196,0,0,
196,201,16,0.38,
213,117,45,1.22,
213,181,63,1.6,
213,183,59,1.42,
213,213,0,0,
